Date,Open,High,Low,Close,Volume
2019-11-29,201.6,203.8,201.21,201.64,7985231
2019-11-27,199.9,203.14,199.42,202.0,12729462
2019-11-26,200.0,200.15,198.039,198.97,11748664
2019-11-25,199.515,200.97,199.25,199.79,15286442
2019-11-22,198.38,199.3,197.62,198.82,9959817
2019-11-21,197.42,199.09,196.86,197.93,12130985
2019-11-20,198.58,199.59,195.43,197.51,12370240
2019-11-19,197.4,200.0,196.86,199.32,19070291
2019-11-18,194.56,198.63,193.05,197.4,16176107
2019-11-15,194.26,195.3,193.38,195.1,11530232
2019-11-14,192.93,194.03,191.45,193.15,9059897
2019-11-13,194.7,195.7,192.74,193.19,11009800
2019-11-12,190.0,195.06,189.74,194.47,17615454
2019-11-11,189.93,190.08,188.54,189.61,8637768
2019-11-08,190.0,192.34,189.7,190.84,10764784
2019-11-07,191.91,193.44,189.47,190.42,13472998
2019-11-06,194.03,194.37,191.35,191.55,10973019
2019-11-05,195.37,195.75,193.6,194.32,9941954
2019-11-04,194.55,197.367,193.812,194.72,16371292
2019-11-01,192.85,194.11,189.91,193.62,21711829
